onset	duration	nwb_table
1600294796.7240005	918.1585054397583	epochs
1600296174.2642674	905.117436170578	epochs
1600297134.9075708	1323.8745074272156	epochs
1600298653.070479	903.8122930526733	epochs
1600299649.3303268	1307.9522750377655	epochs
1600301146.9441051	905.6383376121521	epochs
1600302170.1037736	944.678658246994	epochs
1600303488.134071	903.4484152793884	epochs
1600304500.3213315	902.5607566833496	epochs
1600305848.3481653	912.3341274261475	epochs
1600306843.6501758	1161.1318755149841	epochs
