onset	duration	nwb_table
1567096850.9430537	1253.755196094513	epochs
1567098332.263205	909.7348930835724	epochs
1567099341.164842	1252.1328210830688	epochs
1567101095.5651286	904.1326680183411	epochs
1567102116.4703016	1509.4274260997772	epochs
1567103922.2748418	904.0227508544922	epochs
1567104926.6882863	1495.5095722675323	epochs
1567106720.7693052	900.528605222702	epochs
1567107915.2304626	1482.2670781612396	epochs
1567109758.8881028	901.6096274852753	epochs
1567110781.1496503	1542.7484140396118	epochs
1567112573.9330173	909.6653809547424	epochs
1567113592.4264092	1324.371809720993	epochs
1567115279.7972987	907.4005362987518	epochs
1567116343.9222255	1691.7761089801788	epochs
1567118555.8317935	904.665590763092	epochs
