participant_id	species	sex
sub-Jaq	Rattus norvegicus	M
sub-Lotus	Rattus norvegicus	M
sub-Monty	Rattus norvegicus	M
sub-Peanut	Rattus norvegicus	M
sub-Roqui	Rattus norvegicus	M
